model,score,target,prevalence,auroc,average_precision
B1_ESM2_only,low_top5_sum,any_unseen_true_label,0.3161136023916293,0.6756182202264935,0.43600071625143344
B1_ESM2_only,low_top1,any_unseen_true_label,0.3161136023916293,0.6735450287275055,0.4461279618701082
B1_ESM2_only,low_pred_count_005,any_unseen_true_label,0.3161136023916293,0.644542837226434,0.40385976647191413
B1_ESM2_only,low_prob_sum,any_unseen_true_label,0.3161136023916293,0.6269292298578469,0.4175603301157223
B1_ESM2_only,low_pred_count_010,any_unseen_true_label,0.3161136023916293,0.6256725637513227,0.30909504030045926
B1_ESM2_only,high_entropy,any_unseen_true_label,0.3161136023916293,0.4532381600386793,0.28386681504520894
B3_contact_only,low_top1,any_unseen_true_label,0.3161136023916293,0.5738791976664646,0.36521235437684263
B3_contact_only,low_top5_sum,any_unseen_true_label,0.3161136023916293,0.558238058670634,0.36387228904938357
B3_contact_only,low_pred_count_010,any_unseen_true_label,0.3161136023916293,0.5456223754895307,0.39486397304998316
B3_contact_only,high_entropy,any_unseen_true_label,0.3161136023916293,0.5418296148348314,0.36848414223083686
B3_contact_only,low_pred_count_005,any_unseen_true_label,0.3161136023916293,0.5259328811910616,0.36364143052120607
B3_contact_only,low_prob_sum,any_unseen_true_label,0.3161136023916293,0.4912672669220392,0.3646251000567137
Fusion_ESM2_contact,low_top5_sum,any_unseen_true_label,0.3161136023916293,0.738250335614219,0.58987466416399
Fusion_ESM2_contact,low_prob_sum,any_unseen_true_label,0.3161136023916293,0.7317260285987532,0.5880861119805305
Fusion_ESM2_contact,low_top1,any_unseen_true_label,0.3161136023916293,0.7286940987889644,0.575201347668585
Fusion_ESM2_contact,low_pred_count_005,any_unseen_true_label,0.3161136023916293,0.6774929006815075,0.4946185961103099
Fusion_ESM2_contact,low_pred_count_010,any_unseen_true_label,0.3161136023916293,0.6504939848400367,0.4875439819614558
Fusion_ESM2_contact,high_entropy,any_unseen_true_label,0.3161136023916293,0.3079798678101159,0.23111270834563546
