run,top_k,n,hit_rate,micro_f1,macro_f1,precision,recall,avg_pred_labels,median_pred_labels
seed42_base,1,16725,0.06726457399103139,0.06676755986824535,0.0025020171908658297,0.06726457399103139,0.0662778366914104,1.0,1.0
seed42_base,3,16725,0.10840059790732437,0.05417802201075222,0.002888116877593645,0.036253114100647736,0.10716389772593378,3.0,3.0
seed42_base,5,16725,0.12705530642750373,0.04240598813109474,0.00283757351394705,0.0255067264573991,0.1256627783669141,5.0,5.0
seed42_base,10,16725,0.15210762331838565,0.027705402119159287,0.0024835619521928376,0.015258594917787744,0.15034759043242607,10.0,10.0
seed43,1,16725,0.04938714499252616,0.04902222617881836,0.0019248570217255342,0.04938714499252616,0.04866266053964888,1.0,1.0
seed43,3,16725,0.11623318385650225,0.05799043917258634,0.002571603834432659,0.03880418535127055,0.11470484270060093,3.0,3.0
seed43,5,16725,0.14343796711509715,0.0477738347299675,0.0023649267508725996,0.02873542600896861,0.1415694591728526,5.0,5.0
seed43,10,16725,0.16729446935724962,0.030419489317352787,0.0020844070004416137,0.016753363228699553,0.16507599858607283,10.0,10.0
seed44,1,16725,0.05823617339312406,0.05780586961037419,0.002253975512604783,0.05823617339312406,0.05738187816660775,1.0,1.0
seed44,3,16725,0.10672645739910314,0.0532547022293705,0.0022855492706448976,0.03563527653213752,0.10533757511488158,3.0,3.0
seed44,5,16725,0.12472346786248131,0.041531227944611775,0.0021507559308292265,0.024980568011958148,0.12307057853187227,5.0,5.0
seed44,10,16725,0.1503139013452915,0.027336286260204967,0.0019953583440330586,0.015055306427503736,0.14834452692353012,10.0,10.0
