cutoff,accession,seq_len,true_ecs,true_all_l4_in_train,true_any_l4_absent_train,true_l4_train_freq_min,true_l4_train_freq_median,true_l4_train_freq_max,in_recency_intersection_99,top_hit,top_identity,top_qcov,top_tcov,top_bits,top_hit_ecs,top_hit_same_l1,top_hit_same_l2,top_hit_same_l3,top_hit_same_l4
SP-2018,P0DPK1,1306,3.4.24.69,True,False,10,10.0,10,False,B1INP5,0.315,0.9992343032159265,1.010844306738962,548.0,3.4.24.69,True,True,True,True
SP-2018,C0HLB7,142,3.2.1.17,True,False,173,173.0,173,True,Q7YT16,0.624,0.9929577464788732,1.0,206.0,3.2.1.17,True,True,True,True
SP-2018,C0HLB8,32,3.1.1.4,True,False,490,490.0,490,True,P07037,0.9309999999999999,0.90625,0.24369747899159663,74.0,3.1.1.4,True,True,True,True
SP-2018,A0A2L0VXR5,350,2.5.1.1;2.5.1.10;2.5.1.29,True,False,41,54.0,66,False,Q54BK1,0.414,0.7971428571428572,0.9207920792079208,222.0,2.5.1.1;2.5.1.10;2.5.1.29,True,True,True,True
SP-2018,P0DPR2,689,2.3.2.27,True,False,1134,1134.0,1134,True,Q5NCP0,0.447,0.8055152394775036,0.7079081632653061,404.0,2.3.2.27,True,True,True,True
SP-2018,P0DPT0,301,3.1.1.32,True,False,37,37.0,37,True,P0DMB4,0.9229999999999999,1.0,0.9011976047904192,587.0,3.1.1.32,True,True,True,True
SP-2018,P0DPS1,866,2.7.7.7,True,False,984,984.0,984,False,,,,,,,False,False,False,False
SP-2018,C0HLF0,121,3.1.1.4,True,False,490,490.0,490,True,Q02517,0.8440000000000001,1.0082644628099173,0.8840579710144928,244.0,3.1.1.4,True,True,True,True
SP-2018,C0HLF7,107,3.1.1.4,True,False,490,490.0,490,True,P86169,0.8270000000000001,1.02803738317757,0.9016393442622951,217.0,3.1.1.4,True,True,True,True
SP-2018,P0DPS4,120,3.1.1.4,True,False,490,490.0,490,True,P31854,0.795,1.0166666666666666,0.8840579710144928,230.0,3.1.1.4,True,True,True,True
SP-2018,P0DQD1,30,3.1.1.4,True,False,490,490.0,490,True,A6MEY4,0.9329999999999999,1.0,0.20689655172413793,70.0,3.1.1.4,True,True,True,True
SP-2018,P0DPT7,147,3.1.1.4,True,False,490,490.0,490,True,C1JAR9,0.605,1.0,1.0,198.0,3.1.1.4,True,True,True,True
SP-2018,P0DPT9,147,3.1.1.4,True,False,490,490.0,490,True,C1JAR9,0.619,1.0,1.0,208.0,3.1.1.4,True,True,True,True
SP-2018,P0DPT8,28,3.1.1.4,True,False,490,490.0,490,True,C1JAR9,0.607,1.0,0.19047619047619047,41.0,3.1.1.4,True,True,True,True
SP-2018,A0A2I6PJ05,384,2.5.1.1;2.5.1.10;2.5.1.29,True,False,41,54.0,66,False,Q92236,0.652,0.9817708333333334,0.9019138755980861,526.0,2.5.1.1;2.5.1.10;2.5.1.29,True,True,True,True
SP-2018,A0A383ZFX3,395,3.5.1.23,True,False,29,29.0,29,True,Q17QB3,0.8909999999999999,1.0,1.0,760.0,3.5.1.23,True,True,True,True
SP-2018,A0A2Z5WA18,502,1.17.7.4,True,False,402,402.0,402,True,Q6AVG6,0.5329999999999999,0.8784860557768924,0.9607843137254902,465.0,1.17.7.4,True,True,True,True
SP-2018,P0DSI2,379,3.1.1.32,True,False,37,37.0,37,True,Q68KK0,0.358,0.8179419525065963,0.8959537572254336,201.0,3.1.1.32,True,True,True,True
SP-2018,P0DSN5,36,3.1.1.4,True,False,490,490.0,490,True,,,,,,,False,False,False,False
SP-2018,A0A3L6G998,547,4.2.3.57,True,False,3,3.0,3,True,C5YHI2,0.413,0.9542961608775137,0.9577981651376147,437.0,4.2.3.123,True,True,True,False
SP-2018,A0A2S1WBY6,356,2.1.1.117,True,False,1,1.0,1,True,Q9LEL6,0.41100000000000003,0.9887640449438202,1.0144092219020173,272.0,2.1.1.128,True,True,True,False
SP-2018,A0A2S1WC15,339,2.1.1.117,True,False,1,1.0,1,True,Q6WUC1,0.794,1.0206489675516224,1.0,569.0,2.1.1.128,True,True,True,False
SP-2018,A0A452E9Y6,712,1.11.1.7,True,False,168,168.0,168,True,A5JUY8,0.9590000000000001,1.0,1.0,1435.0,1.11.1.7,True,True,True,True
SP-2018,A0A2I7G3B3,379,1.1.1.144;1.1.1.347,True,False,2,2.0,2,False,P25141,0.444,1.0052770448548813,0.9973821989528796,318.0,1.1.1.1,True,True,True,False
SP-2018,A0A3G1DJK5,729,4.3.1.24,True,False,50,50.0,50,True,A0A0U1LSP0,0.418,0.8861454046639232,0.6479438314944834,456.0,5.4.3.10,False,False,False,False
SP-2018,A0A3G1DJL2,419,2.5.1.21,True,False,17,17.0,17,True,Q7S4Z6,0.583,0.9952267303102625,0.8669438669438669,494.0,2.5.1.21,True,True,True,True
SP-2018,A0A3G1DJF0,320,3.1.1.1,True,False,92,92.0,92,True,Q9FG13,0.396,0.309375,0.3009118541033435,68.0,3.1.1.1,True,True,True,True
SP-2018,A0A2I7G3B0,499,1.2.1.5,True,False,16,16.0,16,True,Q56YU0,0.6409999999999999,0.9739478957915831,0.9700598802395209,657.0,1.2.1.3,True,True,True,False
SP-2018,A0A2R6P624,458,2.4.1.91,True,False,11,11.0,11,True,P51094,0.526,0.9912663755458515,0.9956140350877193,494.0,2.4.1.115,True,True,True,False
SP-2018,A0A4D6Q4T7,372,1.14.11.9,True,False,19,19.0,19,True,Q06942,0.8320000000000001,0.9650537634408602,0.9862637362637363,619.0,1.14.11.9,True,True,True,True
SP-2018,A0A4D6Q9B0,372,1.14.11.9,True,False,19,19.0,19,True,Q06942,0.816,0.9650537634408602,0.9862637362637363,615.0,1.14.11.9,True,True,True,True
SP-2018,C0HLL2,146,3.1.1.4,True,False,490,490.0,490,True,P31854,0.5,0.9178082191780822,0.9710144927536232,139.0,3.1.1.4,True,True,True,True
SP-2018,P0DQH9,172,1.4.3.2,True,False,58,58.0,58,True,G8XQX1,0.33399999999999996,2.622093023255814,0.8948412698412699,171.0,1.4.3.2,True,True,True,True
SP-2018,A0A2U8QPE6,501,1.4.3.2,True,False,58,58.0,58,True,Q4JHE3,0.836,1.001996007984032,0.9709864603481625,854.0,1.4.3.2,True,True,True,True
SP-2018,P9WF03,920,3.2.1.40,True,False,1,1.0,1,True,,,,,,,False,False,False,False
SP-2018,C0HLL8,49,1.11.1.9,True,False,61,61.0,61,True,,,,,,,False,False,False,False
SP-2018,C0HLL7,50,2.5.1.18,True,False,279,279.0,279,True,,,,,,,False,False,False,False
SP-2018,A0A4P8GFV8,379,4.2.3.104,True,False,3,3.0,3,True,,,,,,,False,False,False,False
SP-2018,A0A2U8U2L5,430,4.2.3.104,True,False,3,3.0,3,True,,,,,,,False,False,False,False
SP-2018,A0A5C1REZ4,494,1.2.1.3,True,False,104,104.0,104,True,Q1ERI2,0.555,0.9676113360323887,0.9540918163672655,555.0,1.2.1.3,True,True,True,True
SP-2018,A0A5C1ZW08,178,3.1.1.4,True,False,490,490.0,490,True,Q9TWL9,0.465,0.4101123595505618,0.948051948051948,83.0,3.1.1.4,True,True,True,True
SP-2018,A0A5C1ZXT8,178,3.1.1.4,True,False,490,490.0,490,True,Q9TWL9,0.465,0.4101123595505618,0.948051948051948,81.0,3.1.1.4,True,True,True,True
SP-2018,A0A2K9RFY0,789,4.2.3.19,True,False,5,5.0,5,True,Q39548,0.5329999999999999,0.9645120405576679,0.9645120405576679,823.0,4.2.3.19,True,True,True,True
SP-2018,A0A2K9RFZ8,814,5.5.1.14,True,False,3,3.0,3,True,G3CCC0,0.502,0.898034398034398,0.9114713216957606,728.0,4.2.1.133,False,False,False,False
SP-2018,A0A5C2A2T2,178,3.1.1.4,True,False,490,490.0,490,True,Q9TWL9,0.465,0.4101123595505618,0.948051948051948,81.0,3.1.1.4,True,True,True,True
SP-2018,A0A384XHA3,727,4.3.1.24,True,False,50,50.0,50,True,O93967,0.603,0.9876203576341128,0.9702702702702702,844.0,4.3.1.24,True,True,True,True
SP-2018,F6Q1T7,360,2.4.1.344;2.4.1.69,True,False,12,20.0,28,False,Q29043,0.833,1.0,0.9863013698630136,649.0,2.4.1.344,True,True,True,True
SP-2018,A0A3L7I2I8,807,3.1.1.4;3.1.1.5;3.1.2.2,True,False,26,81.0,490,False,P97819,0.945,1.0,1.0,1591.0,3.1.1.4,True,True,True,True
SP-2018,P9WF02,469,1.2.4.4,True,False,27,27.0,27,True,Q55FN7,0.588,0.673773987206823,0.8540540540540541,391.0,1.2.4.4,True,True,True,True
SP-2018,C0HLL3,304,3.1.1.32,True,False,37,37.0,37,True,P0CH87,0.7020000000000001,0.9835526315789473,0.9933554817275747,439.0,3.1.1.32,True,True,True,True
SP-2018,A0A2K3DU55,269,3.1.3.27,True,False,13,13.0,13,True,Q9Y7U3,0.336,0.4349442379182156,0.5598086124401914,60.0,3.1.3.27,True,True,True,True
SP-2018,C0HLQ6,16,1.2.1.12,True,False,231,231.0,231,True,,,,,,,False,False,False,False
SP-2018,C0HLL4,341,3.2.1.35,True,False,51,51.0,51,True,P49371,0.633,0.9589442815249267,0.9879154078549849,456.0,3.2.1.35,True,True,True,True
SP-2018,C0HLL5,331,3.2.1.35,True,False,51,51.0,51,True,P86875,0.975,1.0,0.927170868347339,696.0,3.2.1.35,True,True,True,True
SP-2018,A0A3G9HRC2,1103,1.14.14.1;1.6.2.4,True,False,30,110.5,191,False,Q9HGE0,0.5760000000000001,0.985494106980961,0.9748878923766816,1259.0,1.14.14.1;1.6.2.4,True,True,True,True
SP-2018,P0DTE5,536,2.4.1.17,True,False,63,63.0,63,True,Q6PDD0,0.848,0.9850746268656716,1.0,966.0,2.4.1.17,True,True,True,True
SP-2018,P0DTE4,527,2.4.1.17,True,False,63,63.0,63,True,Q9Y4X1,0.8440000000000001,1.0,1.0,971.0,2.4.1.17,True,True,True,True
SP-2018,A0A348AXX5,538,3.5.1.4,True,False,56,56.0,56,True,P08158,0.41100000000000003,0.9869888475836431,0.968978102189781,399.0,3.5.1.4,True,True,True,True
SP-2018,P9WEU6,320,3.5.5.1,True,False,25,25.0,25,True,Q42966,0.53,0.971875,0.8936781609195402,337.0,3.5.5.1;3.5.5.4,True,True,True,True
SP-2018,A0A5Q0QMX0,372,4.2.3.126,False,True,0,0.0,0,False,P0DL13,0.433,0.8709677419354839,0.9364161849710982,290.0,4.2.3.135,True,True,True,False
SP-2018,A0A5Q0QMX1,353,4.2.3.126;4.2.3.198,False,True,0,0.0,0,False,P0DL13,0.40700000000000003,0.9065155807365439,0.9248554913294798,250.0,4.2.3.135,True,True,True,False
SP-2018,A0A5Q0QNH9,387,4.2.3.135,True,False,1,1.0,1,True,P0DL13,0.556,0.8423772609819121,0.9421965317919075,388.0,4.2.3.135,True,True,True,True
SP-2018,A0A5Q0QN66,659,4.2.3.135,True,False,1,1.0,1,True,P0DL13,0.507,0.5144157814871017,0.9797687861271677,346.0,4.2.3.135,True,True,True,True
SP-2018,A0A5Q0QSI8,430,4.2.3.88,True,False,2,2.0,2,True,A8NU13,0.424,0.7651162790697674,0.9536231884057971,270.0,4.2.3.127;4.2.3.128;4.2.3.129;4.2.3.91,True,True,True,False
SP-2018,A0A5Q0QP64,342,4.2.3.126;4.2.3.127;4.2.3.15,False,True,0,1.0,9,False,A8NU13,0.684,0.9824561403508771,0.9739130434782609,485.0,4.2.3.127;4.2.3.128;4.2.3.129;4.2.3.91,True,True,True,True
