A5FLS1	A5FLS1
A5FLS1	A0M791
A5FLS1	A6GVV9
A5FLS1	A6L4L7
A5FLS1	A6L8P2
A5FLS1	B3EST8
A5FLS1	B6YQC5
A5FLS1	P13356
A5FLS1	P13357
A5FLS1	Q11Y90
A5FLS1	Q5LD89
A5FLS1	Q8A9V4
A5FLS1	A8Z6C7
A5FLS1	Q2RZV3
A5FLS1	B8CZ12
A5FLS1	A0A320
A5FLS1	A0A342
A5FLS1	A0AFQ9
A5FLS1	A0AFR1
A5FLS1	A0ALL3
A5FLS1	A0ALL5
A5FLS1	A0JY64
A5FLS1	A0JY66
A5FLS1	A0K2Y3
A5FLS1	A0KQX8
A5FLS1	A0L2S8
A5FLS1	A0LDA0
A5FLS1	A0LLF8
A5FLS1	A0LLG0
A5FLS1	A0LSL4
A5FLS1	A0LSL6
A5FLS1	A0PUK0
A5FLS1	A0PUK2
A5FLS1	A0Q2Z4
A5FLS1	A0Q2Z6
A5FLS1	A0Q8D9
A5FLS1	A0QCX6
A5FLS1	A0QCX8
A5FLS1	A0R200
A5FLS1	A0R202
A5FLS1	A0RL95
A5FLS1	A0RL97
A5FLS1	A0RR26
A5FLS1	A0RR28
A5FLS1	A0T0D2
A5FLS1	A0T0F1
A5FLS1	A0T0P4
A5FLS1	A0T0R6
A5FLS1	A0ZZ20
A5FLS1	A0ZZ42
A5FLS1	A1A3C5
A5FLS1	A1A3C7
A5FLS1	A1AHR4
A5FLS1	A1ALL5
A5FLS1	A1ALL7
A5FLS1	A1AP52
A5FLS1	A1AXU2
A5FLS1	A1B8N8
A5FLS1	A1B8P0
A5FLS1	A1BCJ2
A5FLS1	A1E9I8
A5FLS1	A1E9S1
A5FLS1	A1E9T1
A5FLS1	A1EA05
A5FLS1	A1EA15
A5FLS1	A1JTC6
A5FLS1	A1K1S2
A5FLS1	A1KI96
A5FLS1	A1KI98
A5FLS1	A1KW11
A5FLS1	A1R7V3
A5FLS1	A1R7V5
A5FLS1	A1RQB0
A5FLS1	A1SBU0
A5FLS1	A1SHI9
A5FLS1	A1SHJ1
A5FLS1	A1SS55
A5FLS1	A1SS62
A5FLS1	A1T0Y9
A5FLS1	A1TD55
A5FLS1	A1TD57
A5FLS1	A1TJ41
A5FLS1	A1U7H4
A5FLS1	A1UJY4
A5FLS1	A1UJY6
A5FLS1	A1UR47
A5FLS1	A1UR49
A5FLS1	A1UY34
A5FLS1	A1UY41
A5FLS1	A1V8T1
A5FLS1	A1VFJ3
A5FLS1	A1VFJ5
A5FLS1	A1VIV2
A5FLS1	A1VPQ8
A5FLS1	A1VPR5
A5FLS1	A1VXI8
A5FLS1	A1VXJ0
A5FLS1	A1W2T7
A5FLS1	A1WF58
A5FLS1	A1WZT1
A5FLS1	A1XFU0
A5FLS1	A1XGM3
A5FLS1	A2BT12
A5FLS1	A2BT25
A5FLS1	A2BYG3
A5FLS1	A2BYH6
A5FLS1	A2C4I4
A5FLS1	A2C4J5
A5FLS1	A2C6X5
A5FLS1	A2C6Z4
A5FLS1	A2RFC2
A5FLS1	A2RFC4
A5FLS1	A2RMI2
A5FLS1	A2RMI4
A5FLS1	A2S6J8
A5FLS1	A2SC70
A5FLS1	A2T317
A5FLS1	A2T340
A5FLS1	A3CM14
A5FLS1	A3DAR4
A5FLS1	A3DIM7
